CANCER_TYPE	SIGNATURE	SAMPLES_ACTIVE	SAMPLES_ACTIVE_F	MUTS	IN	OUT	FC_MEDIAN	PVALUE	QVALUE	SIG	FC_LOG2
ALL	SBS1	233	0.9708333333333332	78.59863005131203	0.13631257474248	0.2152400996651079	0.4901107921303693	0.016636145871399936	0.019012738138742786	no	-1.0288201799667855
ALL	SBS13	26	0.10833333333333334	195.23065560572118	0.043007719410106615	0.2449701131012785	0.2010519662745555	8.29809930635731e-06	2.212826481695283e-05	yes	-2.3143596492207195
ALL	SBS18	49	0.20416666666666666	100.40732078918316	0.1388015312146015	0.2487491650330317	0.5655142890022368	0.0009753989027676828	0.0013005318703569106	yes	-0.8223646172465799
ALL	SBS2	29	0.12083333333333332	150.6983477470489	0.012764377008724423	0.1846729448074088	0.046763279182485074	7.229605507761113e-06	2.212826481695283e-05	yes	-4.41848009022093
ALL	SBS5	237	0.9875	223.09656810419517	0.6571205983245821	0.5466886190799195	1.2373626748907238	1.4133969039842171e-09	1.1307175231873737e-08	yes	0.3072684207498023
ALL	SBS7a	20	0.08333333333333333	470.4055318496042	0.1513735356855821	0.3481487938948796	0.4841276138382328	0.0001678466796875	0.000335693359375	yes	-1.0465407094031154
ALL	SBS7b	16	0.06666666666666668	148.17709981091915	0.08872240602421336	0.16134191108042506	0.6623353543249652	0.00030517578125	0.00048828125	yes	-0.5943662260145646
ALL	SBS8	65	0.2708333333333333	122.74645135759528	0.2500096812602512	0.28206648473552515	0.9119582358559992	0.12703289892515865	0.12703289892515865	no	-0.13296033881213784
BILIARY_TRACT	SBS1	74	0.7326732673267327	508.363347208867	0.28034498406407504	0.10050075994298746	2.4907585119783717	1.2488112540081694e-11	1.2488112540081694e-10	yes	1.3165851538711228
BILIARY_TRACT	SBS10c	24	0.2376237623762376	740.0423512029936	0.14142966824609646	0.14188176934189234	0.8998474153577303	0.15150094032287598	0.1736111111111111	no	-0.15224770652210015
BILIARY_TRACT	SBS13	26	0.25742574257425743	572.3950796285549	0.0066457927811585035	0.06949550117331288	0.09866334733816362	2.0983411023843266e-05	6.994470341281089e-05	yes	-3.3413419554906842
BILIARY_TRACT	SBS17b	11	0.10891089108910892	592.1035893224594	0.04144465734972352	0.08363442816663454	0.6090393105496591	0.365234375	0.365234375	no	-0.7153927447447057
BILIARY_TRACT	SBS18	33	0.32673267326732675	812.4849972233427	0.13429668671627426	0.17697710523885174	0.8269841753064813	0.13108640906987945	0.1736111111111111	no	-0.2740683718091854
BILIARY_TRACT	SBS2	47	0.4653465346534654	506.90807217523474	0.02581090178223121	0.07573781081509655	0.3292258320284657	8.809378082542574e-06	4.404689041271287e-05	yes	-1.6028505565845155
BILIARY_TRACT	SBS3	27	0.2673267326732673	2137.4066604983373	0.3327214758945289	0.3431298629157205	0.9096187287400256	0.021088297327114414	0.03514716221185737	no	-0.13666613575153944
BILIARY_TRACT	SBS35	9	0.0891089108910891	1717.9717780039114	0.12146040115485235	0.19148822659092546	0.6450503393068003	0.00390625	0.0078125	yes	-0.6325163429802555
BILIARY_TRACT	SBS41	6	0.0594059405940594	1185.2852839662166	0.2286066668911057	0.14853328080760875	1.709802407043976	0.15625	0.1736111111111111	no	0.7738296099948258
BILIARY_TRACT	SBS5	101	1.0	2490.933029663985	0.4730149141371355	0.5197167116562335	0.9071461959911621	0.00041835856655263816	0.0010458964163815954	yes	-0.14059302017009348
BLADDER_URI	SBS1	53	0.3271604938271605	691.4650742314168	0.17313141732714574	0.07366735940937652	1.930985681768333	3.6269252658528603e-09	8.160581848168934e-09	yes	0.9493374667647906
BLADDER_URI	SBS13	134	0.8271604938271605	3463.781146594721	0.25278640639663963	0.2287739864166645	0.9842478469152784	0.7449178873717321	0.7449178873717321	no	-0.022906443457374578
BLADDER_URI	SBS17b	10	0.061728395061728385	1977.4044576517824	0.14447768500976405	0.10945829189127444	1.5551122228756586	0.02734375	0.03076171875	no	0.6370186945322516
BLADDER_URI	SBS18	13	0.08024691358024691	1937.9125113022806	0.17119177171586464	0.20901143912038947	0.8564571046626825	0.013427734375	0.017264229910714284	no	-0.2235471036161969
BLADDER_URI	SBS2	131	0.8086419753086421	3121.833450654401	0.30010734210600576	0.2150616711014653	1.4884143127378067	4.565674470378293e-22	2.0545535116702326e-21	yes	0.573776168739837
BLADDER_URI	SBS31	26	0.16049382716049382	3569.392290940481	0.12336257368104946	0.19417456161522934	0.6654097059639024	8.29809930635731e-06	1.2447148959535964e-05	yes	-0.5876851847172846
