COHORT	COHORT_MANUSCRIPT_LONG_NAME	SOURCE	PLATFORM	REFERENCE_DOI	TYPE	TREATED	AGE	SAMPLES	MUTATIONS_TOTAL	MUTATIONS_SNV	MUTATIONS_MNV	MUTATIONS_INS	MUTATIONS_DEL	LEVEL_A_LONG	LEVEL_A	LEVEL_B_LONG	LEVEL_B	LEVEL_0	LEVEL_1	LEVEL_2	LEVEL_3	LEVEL_4	LEVEL_5
D_ACC	Adrenocortical carcinomas (St. Jude Children's Research Hospital Cloud)	STJUDE	WGS	10.1038/ncomms7302	Primary	Untreated	Pediatric	20	16649	16614	0	26	9	Adrenocortical Carcinoma (ACC)	ACC	None	None	PANCANCER	Adrenal Gland (ADRENAL_GLAND)	Adrenocortical Carcinoma (ACC)			
D_ALL	Acute lymphoblastic leukemias (St. Jude Children's Research Hospital Cloud)	STJUDE	WGS	10.1038/ncomms7604	Primary	Untreated	Pediatric	278	154660	154095	198	145	222	Acute lymphoblastic leukemia (ALL)	ALL	Lymphoid Neoplasm (LNM)	LNM	PANCANCER	Lymphoid (LYMPH)	Lymphoid Neoplasm (LNM)	Acute lymphoblastic leukemia (ALL)		
PCAWG_WGS_MYELOID_AML	Acute myeloid leukemias (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	13	18413	17480	91	515	327	Acute Myeloid Leukemia (AML)	AML	Myeloid Neoplasm (MNM)	MNM	PANCANCER	Myeloid (MYELOID)	Myeloid Neoplasm (MNM)	Acute Myeloid Leukemia (AML)		
D_AML	Acute myeloid leukemias (St. Jude Children's Research Hospital Cloud)	STJUDE	WGS	10.1038/ng.3709	Primary	Untreated	Pediatric	21	15291	15259	0	18	14	Acute Myeloid Leukemia (AML)	AML	Myeloid Neoplasm (MNM)	MNM	PANCANCER	Myeloid (MYELOID)	Myeloid Neoplasm (MNM)	Acute Myeloid Leukemia (AML)		
HARTWIG_ANUS	Anal cancers (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	14	208041	184886	3330	10831	8994	Anal Cancer (AN)	AN	Bowel (BOWEL)	BOWEL	PANCANCER	Bowel (BOWEL)	Anal Cancer (AN)			
HARTWIG_SMALL_INTESTINE	Small bowel cancers (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	10	215692	192200	1914	12155	9423	Small Bowel Cancer (SBC)	SBC	Bowel (BOWEL)	BOWEL	PANCANCER	Bowel (BOWEL)	Small Bowel Cancer (SBC)			
HARTWIG_NET_SMALL_INTESTINAL	Small bowel neuroendocrine tumors (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	42	114630	105234	675	4988	3733	Small Bowel Neuroendocrine Tumor (SBNET)	SBNET	Bowel (BOWEL)	BOWEL	PANCANCER	Bowel (BOWEL)	Gastrointestinal Neuroendocrine Tumors (GINET)	Small Bowel Neuroendocrine Tumor (SBNET)		
HARTWIG_URINARY_TRACT	Urinary tract cancers (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	139	2993787	2788867	23961	122292	58667	Bladder/Urinary Tract (BLADDER_URI)	BLADDER_URI	None	None	PANCANCER	Bladder/Urinary Tract (BLADDER_URI)				
PCAWG_WGS_BLADDER_TCC	Bladder urothelial carcinomas (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	23	483759	466363	2078	10190	5128	Bladder/Urinary Tract (BLADDER_URI)	BLADDER_URI	None	None	PANCANCER	Bladder/Urinary Tract (BLADDER_URI)	Bladder Urothelial Carcinoma (BLCA)			
PCAWG_WGS_BREAST_ADENOCA	Breast adenocarcinomas (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	185	1067546	987549	5967	55783	18247	Invasive Breast Carcinoma (BRCA)	BRCA	None	None	PANCANCER	Breast (BREAST)	Invasive Breast Carcinoma (BRCA)	Breast Invasive Carcinoma, NOS (BRCNOS)		
